Country,Human capital index (HCI) (scale 0-1),"Population, total","Suicide mortality rate (per 100,000 population)",Surface area (sq. km)
Afghanistan,0.400284141,40099462,4.1,652860
Albania,0.634250939,2811666,4.3,28750
Algeria,0.534556448,44177969,2.5,2381741
American Samoa,,45035,,200
Andorra,,79034,,470
Angola,0.36240539,34503774,6.1,1246700
Antigua and Barbuda,0.5957039,93219,0.4,440
Argentina,0.602144718,45808747,8.4,2780400
Armenia,0.578998804,2790974,3.3,29740
Aruba,,106537,,180
Australia,0.770239532,25688079,12.5,7741220
Austria,0.746739745,8955797,14.6,83879
Azerbaijan,0.577767551,10137750,4.1,86600
"Bahamas, The",,407906,3.5,13880
Bahrain,0.652472019,1463265,8.9,785
Bangladesh,0.464036435,169356251,3.7,147570
Barbados,,281200,0.6,430
Belarus,0.700078189,9340314,21.2,207610
Belgium,0.760419667,11592952,18.3,30530
Belize,,400031,7.1,22970
Benin,0.400290728,12996895,7.8,114760
Bermuda,,63867,,4290
Bhutan,0.475297034,777486,4.6,38390
Bolivia,,12079472,6.2,1098580
Bosnia and Herzegovina,0.579684079,3270943,10.9,51210
Botswana,0.414028496,2588423,16.1,581730
Brazil,0.551497936,214326223,6.9,8515770
British Virgin Islands,,31122,,150
Brunei Darussalam,0.626391351,445373,2.7,5770
Bulgaria,0.613898158,6877743,9.7,111000
Burkina Faso,0.383691937,22100683,7.5,274220
Burundi,0.386170626,12551213,6.2,27830
Cabo Verde,,587925,12.9,4030
Cambodia,0.491589874,16589023,4.9,181040
Cameroon,0.397401512,27198628,9,475440
Canada,0.797520101,38246108,11.8,9879750
Cayman Islands,,68136,,264
Central African Republic,0.291631907,5457154,12.3,622980
Chad,0.299782783,17179740,6.4,1284000
Channel Islands,,172683,,
Chile,0.651604176,19493184,9,756700
China,0.653102636,1412360000,8.1,9600012.9
Colombia,0.604330301,51516562,3.9,1140619.05
Comoros,0.404688299,821625,5.4,1861
"Congo, Dem. Rep.",0.366369277,95894118,6.7,2344860
"Congo, Rep.",0.419265717,5835806,6.5,342000
Costa Rica,0.628635049,5153957,8.1,51100
Cote d'Ivoire,0.379889339,27478249,8.9,322460
Croatia,0.709693968,3899000,16.4,88070
Cuba,,11256372,14.5,109880
Curacao,,152369,,444
Cyprus,0.755520225,1244188,3.6,9250
Czechia,0.752257407,10505772,12.2,78871.01
Denmark,0.755094826,5856733,10.7,42920
Djibouti,,1105557,9.6,23200
Dominica,0.54474932,72412,,750
Dominican Republic,0.502766907,11117873,4.9,48670
Ecuador,0.594254851,17797737,7.6,256370
"Egypt, Arab Rep.",0.494374663,109262178,3,1001450
El Salvador,0.546176612,6314167,6.1,21040
Equatorial Guinea,,1634466,7.9,28050
Eritrea,,3620312,10.9,121630.327
Estonia,0.777203202,1330932,14.9,45340
Eswatini,0.372500807,1192271,29.4,17360
Ethiopia,0.382784843,120283026,5.4,1136239.544
Faroe Islands,,52889,,12959.67
Fiji,0.508573294,924610,9,18270
Finland,0.796001017,5541017,15.3,338460
France,0.762737215,67749632,13.8,549086.87
French Polynesia,,304032,,3471
Gabon,0.457612455,2341179,8.4,267670
"Gambia, The",0.421570629,2639916,4.8,11300
Georgia,0.568925798,3708610,9.2,69700
Germany,0.751162469,83196078,12.3,357590
Ghana,0.450056404,32833031,6.6,238530
Gibraltar,,32669,,10
Greece,0.690006495,10641221,5.1,131960
Greenland,,56653,,410450
Grenada,0.56507051,124610,0.7,340
Guam,,170534,,540
Guatemala,0.461270094,17109746,5.9,108890
Guinea,0.370942473,13531906,7,245860
Guinea-Bissau,,2060721,7,36130
Guyana,0.495226473,804567,40.3,214970
Haiti,0.446564913,11447569,9.6,27750
Honduras,0.481023133,10278345,2.1,112490
"Hong Kong SAR, China",0.812756538,7413100,,1110
Hungary,0.683087289,9709891,16.6,93030
Iceland,0.745281875,372520,11.9,103000
India,0.493510902,1407563842,12.7,3287260
Indonesia,0.540038466,273753191,2.4,1916906.77
"Iran, Islamic Rep.",0.593404472,87923432,5.2,1745150
Iraq,0.407643288,43533592,3.6,435052
Ireland,0.792599022,5033165,9.6,70280
Isle of Man,,84263,,570
Israel,0.733995318,9364000,5.3,22070
Italy,0.727819681,59109668,6.7,302068
Jamaica,0.534977913,2827695,2.4,10990
Japan,0.804714262,125681593,15.3,377974
Jordan,0.553174376,11148278,1.6,89318
Kazakhstan,0.628506422,19000988,17.6,2724900
Kenya,0.546752512,53005614,6.1,580370
Kiribati,0.492592931,128874,28.3,810
"Korea, Dem. People's Rep.",,25971909,9.4,120540
"Korea, Rep.",0.798776269,51744876,28.6,100410
Kosovo,0.567331731,1786038,,
Kuwait,0.562588036,4250114,2.9,17820
Kyrgyz Republic,0.596617103,6691800,7.4,199950
Lao PDR,0.456665337,7425057,5.4,236800
Latvia,0.706581414,1884490,20.1,64590
Lebanon,0.515125513,5592631,2.8,10450
Lesotho,0.400392592,2281454,72.4,30360
Liberia,0.319014221,5193416,4.5,111370
Libya,,6735277,4.5,1759540
Liechtenstein,,39039,,160
Lithuania,0.706047952,2800839,26.1,65290
Luxembourg,0.68614614,640064,11.3,2590
"Macao SAR, China",0.795671582,686607,,32.9
Madagascar,0.391991019,28915653,5.5,587295
Malawi,0.413240641,19889742,5.4,118480
Malaysia,0.61097616,33573874,5.7,330241
Maldives,,521457,2.7,300
Mali,0.318269581,21904983,4.1,1240190
Malta,0.709248304,518536,6.1,320
Marshall Islands,0.423398137,42050,,180
Mauritania,0.38154608,4614974,3.1,1030700
Mauritius,0.621859252,1266060,9.5,2040
Mexico,0.612949848,126705138,5.3,1964375
"Micronesia, Fed. Sts.",0.505966544,113131,28.2,700
Moldova,0.584153533,2615199,14.7,33850
Monaco,,36686,,74.92
Mongolia,0.614397526,3347782,17.9,1564115.749
Montenegro,0.63318181,619211,21,13810
Morocco,0.504116356,37076584,7.2,446550
Mozambique,0.362116665,32077072,13.6,799380
Myanmar,0.477652013,53798084,2.9,676590
Namibia,0.446437538,2530151,9.7,824290
Nauru,0.508412123,12511,,20
Nepal,0.504601777,30034989,9,147180
Netherlands,0.789915025,17533044,11.8,41540
New Caledonia,,271030,,18580
New Zealand,0.775932431,5122600,11,267710
Nicaragua,0.508098245,6850540,4.4,130370
Niger,0.315685183,25252722,5.3,1267000
Nigeria,0.360609829,213401323,3.5,923770
North Macedonia,0.557349205,2065092,9.4,25710
Northern Mariana Islands,,49481,,460
Norway,0.771051168,5408320,11.8,624499
Oman,0.608116269,4520471,4.9,309500
Pakistan,0.406070024,231402117,8.9,796100
Palau,0.588113487,18024,,460
Panama,0.501601994,4351267,2.9,75320
Papua New Guinea,0.429185003,9949437,3,462840
Paraguay,0.528180063,6703799,6,406752
Peru,0.605192661,33715471,2.8,1285220
Philippines,0.515962124,113880328,2.2,300000
Poland,0.753088593,37747124,11.3,312710
Portugal,0.768949568,10325147,11.5,92230
Puerto Rico,,3263584,,8870
Qatar,0.637771606,2688235,5.8,11490
Romania,0.584187865,19119880,9.7,238400
Russian Federation,0.681419611,143449286,25.1,17098250
Rwanda,0.379552752,13461888,5.6,26340
Samoa,0.548421681,218764,12.6,2840
San Marino,,33745,,60
Sao Tome and Principe,,223107,1.5,960
Saudi Arabia,0.576390505,35950396,6,2149690
Senegal,0.420110792,16876720,6,196710
Serbia,0.676606357,6834326,11.4,84990
Seychelles,0.632779062,99258,8.1,460
Sierra Leone,0.362702101,8420641,6.7,72300
Singapore,0.879125714,5453566,11.2,728
Sint Maarten (Dutch part),,42846,,34
Slovak Republic,0.664987326,5447247,12.1,49030
Slovenia,0.774986982,2108079,19.8,20480
Solomon Islands,0.419872612,707851,14.7,28900
Somalia,,17065581,7.9,637660
South Africa,0.425453395,59392255,23.5,1219090
South Sudan,0.306520849,10748272,3.9,646883
Spain,0.728255033,47415750,7.7,505969.891
Sri Lanka,0.598324299,22156000,14,65610
St. Kitts and Nevis,0.586181641,47606,,260
St. Lucia,0.602564752,179651,7.9,620
St. Martin (French part),,31948,,50
St. Vincent and the Grenadines,0.533341825,104332,1,390
Sudan,0.377445191,45657202,3.8,1878000
Suriname,,612985,25.4,163820
Sweden,0.795357108,10415811,14.7,528860.704
Switzerland,0.756115139,8703405,14.5,41290.39
Syrian Arab Republic,,21324367,2,185180
Tajikistan,0.504116356,9750064,4.3,141380
Tanzania,0.389834702,63588334,4.3,947300
Thailand,0.609310985,71601103,8.8,513120
Timor-Leste,0.45431453,1320942,3.7,14870
Togo,0.431868047,8644829,8.8,56790
Tonga,0.531120658,106017,3.8,750
Trinidad and Tobago,0.60348773,1525663,8.7,5130
Tunisia,0.51680994,12262946,3.3,163610
Turkiye,0.649261832,84775404,2.4,785350
Turkmenistan,,6341855,5.7,488100
Turks and Caicos Islands,,45114,,950
Tuvalu,0.447577119,11204,,30
Uganda,0.384176582,45853778,4.6,241550
Ukraine,0.631387115,43792855,21.6,603550
United Arab Emirates,0.673011899,9365145,6.4,98647.9
United Kingdom,0.782942951,67326569,7.9,243610
United States,0.701764345,331893745,16.1,9831510
Uruguay,0.598760247,3426260,21.2,176220
Uzbekistan,0.622805715,34915100,8,448924
Vanuatu,0.454658538,319137,18,12190
"Venezuela, RB",,28199867,2.1,912050
Vietnam,0.689964533,97468029,7.5,331340
Virgin Islands (U.S.),,105870,,350
West Bank and Gaza,0.579996645,4922749,,6020
"Yemen, Rep.",0.372784406,32981641,5.8,527970
Zambia,0.396927536,19473125,7.3,752610
Zimbabwe,0.466893107,15993524,14.1,390760
