Country,ISO Country code,Continent,Population,Surface Area (Km2),GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),GDP growth(annual %),Economic Growth,health expenditure % of GDP,health expenditure per person,infant mortality,"maternal mortality per 100,000 live births",Education as % of GDP,% of primary school aged kids out of school,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP,Access to electricity (% of population) ,Adults (ages 15-49) newly infected with HIV ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) ","Cause of death, by injury (% of total) ","Cause of death, by non-communicable diseases (% of total) ",CO2 emissions (metric tons per capita) ,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49) ",Young people (ages 15-24) newly infected with HIV ,"Death rate, crude (per 1,000 people) ",Domestic general government health expenditure (% of GDP) ,Electric power consumption (kWh per capita) ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) ",GDP (current US$) ,GDP per capita (current US$) ,GNI (current US$) ,GNI per capita (current LCU) ,"Government expenditure on education, total (% of government expenditure) ",Ease of doing business score (0 = lowest performance to 100 = best performance) ,Human capital index (HCI) (scale 0-1) ,"Incidence of HIV, all (per 1,000 uninfected population) ","Incidence of tuberculosis (per 100,000 people) ","Inflation, GDP deflator (annual %) ","Life expectancy at birth, total (years) ",Merchandise trade (% of GDP) ,Military expenditure (% of GDP) ,Military expenditure (% of general government expenditure) ,"Mortality rate, infant (per 1,000 live births) ","Mortality rate, adult, male (per 1,000 male adults) ","Mortality rate, adult, female (per 1,000 female adults) ","Mortality rate, under-5 (per 1,000 live births) ","Mortality caused by road traffic injury (per 100,000 population) ","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) ","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) ","Net trade in goods (BoP, current US$) ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) ",Population density (people per sq. km of land area) ,"Prevalence of HIV, total (% of population ages 15-49) ",Prevalence of severe food insecurity in the population (%) ,Prevalence of undernourishment (% of population) ,Women Business and the Law Index Score (scale 1-100) ,"Unemployment, total (% of total labor force) (modeled ILO estimate) ",Trade (% of GDP) ,Total greenhouse gas emissions (% change from 1990) ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) ",Tax revenue (% of GDP) ,Tax payments (number) ,Start-up procedures to register a business (number) ,"School enrollment, secondary (% gross) ",Rural population (% of total population) ,Renewable electricity output (% of total electricity output) ,Renewable energy consumption (% of total final energy consumption) ,Renewable internal freshwater resources per capita (cubic meters) ,"Renewable internal freshwater resources, total (billion cubic meters) ",UHC service coverage index ,Tuberculosis treatment success rate (% of new cases) ,"Tuberculosis case detection rate (%, all forms) "
Afghanistan,AFG,Asia,40099462,652860,-,29.4,0.478,-,-2.35,-2.35,3.21,65.8,60.8,638,3.21,-,1,9,-2.53,-1.6,-1.3,-1.871,-1.14,-,-,-,-,26.3,0.828,27,-,97.69999695,1300,32.93045135,17.28846373,49.78108487,0.160976451,0.07,500,7.113,1.08443093,-,35.89300156,14786861638,368.7546142,14910923352,31002.95782,11.34377003,44.06497,0.400284141,0.04,189,0.524516524,62.575,44.70860796,-,-,45,318.587,210.053,58,15.9,211.1,13.9,-5100906449,56.91080835,100,61.4212266,0.1,22.5,29.8,38.125,13.28299999,-,-,0.21,-,19,4,-,73.686,86.05011125,18.51,1248.361806,47.15,37,95,66
Albania,ALB,Europe,2811666,28750,29,51,0.796,53.1,8.54,8.54,3.92,-,2.4,15,3.1,3.84,28,39,0.11,0,0.2,-0.256,-0.56,49.8,35.6,66.6,70,30.1,1,36,0.0142,100,100,3.023108283,3.035996411,93.94089314,1.69224832,0.05,100,10.785,2.82499456,2309.366503,51.60900116,18255787479,6492.872012,18006189075,662952.3895,13.43000031,67.74847,0.634250939,0.03,17,5.928013814,76.989,61.77219149,1.415635927,4.185888251,8.8,114.508,56.31,9.8,11.7,68,0.2,-3419884649,18.20060252,100,97.79707826,0.1,7.7,3.9,91.25,11.81900024,59.95174948,-19.92389571,7.17,18.54595166,35,5,94.28032684,37.031,100,40.2,9424.737167,26.9,62,89,56
Algeria,DZA,Africa,44177969,2381741,35.3,46.5,0.745,45.8,3.85,3.85,6.1,248.2,11.6,112,6.1,0.18,10,22,-0.88,-0.6,-1.2,-0.816,-0.61,29.7,30.1,45.8,30,42.5,0.011,8,0.0559,99.80413055,1600,12.98441128,7.660040042,79.35555043,4.010034523,0.07,200,5.398,4.05817795,1368.621519,35.11399841,1.63E+11,3690.627878,1.59E+11,487507.5674,14.46348,48.59758,0.534556448,0.04,54,15.73674428,74.453,44.58906923,5.592584071,15.23946779,19.5,114.976,81.699,22.7,20.9,49.7,1.9,-12992250331,38.8840107,100,18.54860331,0.1,6.2,2.5,57.5,12.70400047,45.31108911,65.78502652,0.95,-,27,12,-,25.739,0.322683799,0.16,263.3626761,11.247,75,89,79
Angola,AGO,Africa,34503774,1246700,42.7,-,0.586,28.4,0.7,0.7,2.42,71.3,8.8,241,2.42,-,10,20,-0.71,-1.1,-0.7,-0.952,-0.66,25.3,20.6,52.6,40,32.1,0.682,30,0.0113,46.89060974,13000,59.16227295,9.088287413,31.74944015,0.779202575,0.86,5300,7.821,1.04434741,310.0816685,69.93699646,67404287260,1953.533757,62080347392,1219960.405,6.045360088,41.28838,0.36240539,0.52,325,33.61859184,62.261,67.31916002,1.132059821,6.775820097,48.3,313.481,212.645,71.5,26.1,118.5,48.8,11394296845,32.38850491,100,27.67608406,1.6,30.4,20.8,79.375,8.529999733,51.88744592,-18.00826697,6.94,9.644778503,31,8,-,32.54,53.17492831,54.69,4574.453999,148,39,53,55
Argentina,ARG,South America,45808747,2780400,41.7,50,0.842,57.3,10.26,10.26,4.72,946,9.7,39,4.72,0.42,35,49,-0.11,-0.4,-0.6,-0.462,-0.4,57.9,45.1,50.1,60,38.5,0.271,45,0.0057,100,4700,17.59649448,5.709043309,76.69446254,3.740650291,0.21,1700,8.509,5.93055725,3074.702071,53.81499863,4.87E+11,10636.1202,4.77E+11,989978.8366,12.5300703,58.96151,0.602144718,0.11,30,54.15241194,75.892,28.96389194,0.565318001,-,7.6,147.707,87.621,8.6,14.1,26.6,0.4,14630807074,13.31183395,93.85282467,16.47559596,0.4,13,3.7,79.375,10.90200043,30.21979989,42.67047235,9.65,9.992390084,9,11,110.1282196,7.771,28.14006912,10.74,6497.73852,292,73,46,87
Armenia,ARM,Asia,2790974,29740,31.5,54.7,0.759,51.7,5.7,5.7,2.71,524,-,26,2.71,10.48,23,32,-0.84,-0.2,0.1,-0.096,0.07,33.1,50.8,65.3,70,25.8,0.246,34,0.0444,100,-,6.69449891,4.677751175,88.62775132,2.187476318,-,-,12.792,1.40614879,1976.864492,41.06600189,13861409969,4966.513471,13455052221,2428633.035,10.01000023,74.49401,0.578998804,-,27,6.866740735,72.173,60.45561035,4.440121091,16.3153117,9.7,249.284,85.966,10.9,20,54.8,0.2,-1382153473,32.52811834,100,93.84579691,-,1,3.5,87.5,20.89699936,69.48880754,-50.18426544,5.55,20.8701039,15,3,87.25035858,36.569,28.33696628,10.34,2431.750385,6.859,69,81,52
Australia,AUS,Oceania,25688079,7741220,30.3,43.1,0.951,78.9,1.48,1.48,5.12,5427.5,3,6,-,1.46,39,56,0.85,1.5,1.8,1.674,1.74,95.2,87,77.7,90,36,0.246,31,0.0198,100,500,4.941054322,5.944592213,89.11435367,15.25361834,0.04,100,6.3,7.10425138,10071.39898,62.38700104,1.55E+12,60443.10916,1.54E+12,80090.02931,12.84535027,81.21506,0.770239532,0.02,6.5,2.800899836,83.2,39.02922251,1.978422533,4.632989386,3.1,-,-,3.7,4.9,8.4,0.1,40510223626,8.550324401,24.89358377,3.318350208,0.1,3.6,2.5,96.875,5.111999989,44.23343408,57.92847163,10.51,23.19743194,11,3,134.4505157,13.638,13.63784109,10.13,19415.77691,492,87,90,87
Austria,AUT,Europe,8955797,83879,30.5,46.8,0.916,80.3,4.48,4.48,5.22,5242.2,17.3,5,-,0.06,37,56,0.91,1.6,1.3,1.788,1.27,94.6,82.9,73.8,70,51.8,0.839,40,0.008,100,-,3.569978616,5.445314629,90.98470507,7.293984252,-,-,10.3,7.6176486,8355.841952,56.95700073,4.80E+11,53637.70571,4.83E+11,45554.21477,10.73365974,78.74549,0.746739745,-,5,1.94340746,81.19268293,87.91710624,0.802121671,1.481388192,3,-,-,3.6,4.9,15.3,0.1,3902462830,12.47796673,85.05153767,106.7704312,-,1.3,2.5,96.875,6.301000118,100.2236312,13.30618653,11.96,25.41750212,12,8,100.3740997,41.005,76.49077927,33.77,6193.749493,55,82,70,87
Azerbaijan,AZE,Asia,10137750,86600,33.7,48,0.745,51.1,5.6,5.6,2.46,193.1,38.6,26,2.68,10.46,2,7,-0.85,0.2,-0.1,-0.585,-0.83,15.9,28.6,61.6,60,36.8,0.123,18,0.0527,100,500,5.988189042,3.763640552,90.24817112,3.542397828,0.04,100,7.5,1.28157103,2202.393918,59.58499908,54622176471,5387.997975,53484117647,8968.755394,8.290690422,78.50823,0.577767551,0.03,63,21.15692887,66.868,62.0865044,5.270059006,14.19384729,17.3,319.122,149.378,19.4,6.7,63.9,1.1,2511594000,19.92866362,100,117.0640878,0.1,0,2.5,78.75,6.583000183,72.01786765,-27.60623717,4.41,12.97127179,9,3,94.09343719,43.224,7.039857421,1.62,809.5342081,8.115,65,82,57
Bahamas,BHS,North America,407906,13880,-,-,0.812,60.4,13.72,13.72,2.78,2004.6,4.9,70,2.78,-,38,53,0.88,0.5,0.1,0.102,1.18,78.8,64.3,68.7,60,23.8,0,18,-,100,100,10.71019256,13.85576891,75.43403801,7.02002416,0.38,100,8.076,2.98772573,-,59.3769989,11208600000,27478.38963,10474400000,25678.46514,11.26228046,59.87155,-,0.24,12,1.616956812,72.677,33.59920061,-,-,10.5,236.261,130.8,12.3,7.7,19.9,0.1,-1630695186,17.36772049,99.99999999,29.38804035,1.3,3.4,-,81.25,13.23900032,59.45667302,35.38626796,4.78,14.39089669,20,7,-,16.635,0,1.14,1730.287697,0.7,70,68,87
Bahrain,BHR,Asia,1463265,785,-,33.6,0.875,63.9,2.23,2.23,2.15,940.4,10.5,14,2.15,2.34,2,10,-0.51,0.7,0.8,0.471,0.17,27.4,41.6,62,80,33.4,0.015,15,0.0356,100,100,5.00867409,8.892317027,86.0990093,22.25958067,0.08,100,2.239,2.3749764,19969.73612,68.98799896,38868663032,26562.96914,-,8212.415963,8.489999771,76.02665,0.652472019,0.05,15,9.501301209,79.174,94.05263044,3.558259674,11.58340767,5.8,59.491,50.855,6.8,5.2,40.1,0.1,-,70.81620768,100,1864.031847,0.1,-,-,65,1.873999953,139.8079397,92.65536823,1.09,-,3,6,-,10.378,0,0,2.677039302,0.004,71,-,87
Bangladesh,BGD,Asia,169356251,147570,32.1,54.5,0.661,35.3,6.94,6.94,1.33,45.9,5.1,173,1.33,-,15,24,-0.97,-0.6,-0.8,-0.611,-0.96,28.1,22.2,52.7,40,13.9,0.039,21,0.0127,96.19999695,1000,22.61283722,7.131492663,70.25567178,0.548224197,0.01,200,5.816,0.46258456,317.24537,53.99200058,4.16E+11,2457.92488,4.38E+11,219418.9218,11.32936764,45.04865,0.464036435,0.01,221,4.121175352,71.968,29.94991582,1.269776719,8.56491343,24.3,156.333,116.992,29.1,15.3,149,11.9,-16393590453,60.84578458,100,1147.633333,0.1,10.7,11.4,49.375,5.229000092,26.27144655,44.67096196,0.019,7.731772166,33,9,74.3600769,61.054,1.226889902,24.75,634.378907,105,51,95,82
Barbados,BRB,North America,281200,430,-,-,0.79,60.8,1.4,1.4,6.45,1143.3,9.6,27,6.45,2.65,38,57,1.12,0.5,0.6,0.375,1.24,88.2,68.7,71.3,60,45,0.033,20,-,100,100,12.90050074,4.309227264,82.79027088,4.46141766,0.45,100,8.973,2.82451534,-,53.51499939,4843800000,17225.4623,4747600000,33766.71408,10.77849007,57.90615,-,0.24,0.41,3.878277849,77.393,41.74408522,-,-,11.4,125.431,85.887,12.2,8.2,31.1,0.2,-,23.0801758,100,653.9534884,0.9,7.4,3.4,80,10.41300011,66.53752301,28.4202694,9.69,-,28,7,104.022522,68.754,0,4.31,285.5307302,0.08,74,50,87
Belarus,BLR,Europe,9340314,207610,26.5,42.9,0.808,59.9,2.51,2.51,4.95,399.4,10,2,4.95,5.24,2,6,-0.74,-0.8,-0.9,-1.1,-0.24,15.5,43.7,53,20,41.7,0.298,40,0.0116,100,1000,1.608653743,5.714505715,92.67684243,6.122237765,0.21,200,13,4.12527084,3690.103683,60.7159996,68205380707,7302.257794,65566628589,17821.02829,13.33073997,74.29113,0.700078189,0.12,30,13.05041983,74.22682927,118.9774167,1.155805708,29.99845086,2.2,-,-,2.9,7.6,60.7,0.1,-1993000000,18.76557991,99.93135197,44.98971148,0.5,-,2.5,75.625,4.736000061,118.9338837,-40.86284581,11.45,14.67256897,7,4,103.47229,20.09,0.815679831,7.83,3609.434552,34,74,85,51
Belgium,BEL,Europe,11592952,30530,25.9,42.5,0.937,77.5,6.24,6.24,6.38,4960.4,56.5,5,-,0.89,39,57,0.61,1.1,1.3,1.326,1.48,91.2,83.6,69.6,70,54.1,0.52,42,0.0108,100,-,7.897905535,6.120963772,85.98112786,8.095583954,-,-,11,8.18138885,7709.123078,50.77299881,5.94E+11,51247.01435,6.00E+11,43730.00078,12.23050976,74.98904,0.760419667,-,8.1,2.926076119,80.79512195,177.6610971,1.081807781,1.91103329,3.4,82.72,47.952,4.2,5.8,15.7,0.3,7036544923,12.88651847,91.94854035,379.7232886,-,1.3,2.5,100,6.420000076,157.1807224,-3.263041778,11.08,24.00856601,11,5,151.5748138,1.883,20.80002301,10.21,1044.479144,12,85,67,87
Belize,BLZ,North America,400031,22970,-,-,0.683,48.5,9.75,9.75,8.71,293.4,-,36,8.71,0.15,34,53,0.46,-0.5,-0.4,-0.778,-0.3,70.2,38.1,56.6,50,33.9,0.032,13,0.0125,97.11333466,200,15.93566018,18.84552916,65.218811,1.644842482,0.67,100,5.244,4.16896009,-,56.54700089,2491500000,6228.267309,2413550000,12066.81482,22.20202065,55.47444,-,0.42,28,3.955286155,72.854,59.60264901,1.253583903,3.288176338,10,239.508,132.376,11.7,22.6,68.6,1,-442678800.9,23.01189211,100,17.41536787,1.1,6,7.4,79.375,8.218999863,80.36057692,148.1141394,6.22,-,29,9,85.24632263,53.799,45.23993047,29.09,39219.21382,15.26,67,82,63
Benin,BEN,Africa,12996895,114760,36.5,41.4,0.525,34.5,6.6,6.6,3,29.1,52.8,397,3,6.72,17,42,-0.3,-0.2,-0.4,-0.594,-0.15,55.3,40.3,61,50,21.9,-,8,0.0056,41.41095734,1100,51.8319986,9.191471024,38.97652916,0.593957402,0.2,500,9.364,0.54099613,97.1281349,69.83000183,17144918952,1319.154995,17599874023,750923.203,-,52.40404,0.400290728,0.14,53,-1.513167801,60.088,45.36621037,0.560621374,3.003997919,56.5,288.981,246.154,85.9,26.8,205,59.7,-156238554,38.99995876,100,113.252832,0.8,13.8,7.4,80.625,1.574000001,44.83323338,-28.93719456,2.81,-,54,6,47.50183105,51.028,5.555555556,46.47,838.0494635,10.3,38,90,54
Bhutan,BTN,Asia,777486,38390,38.8,36.7,0.666,47.7,-10.08,-10.08,5.68,116,36.1,183,5.68,3.65,29,32,0.97,0.8,-0.4,0.636,1.55,60.9,73.5,59.3,30,30.5,1,17,-,100,100,18.21093733,9.045744661,72.74331953,1.368151201,0.16,100,6.545,2.6540451,-,57.5340004,2539552985,3266.364905,2383913563,226711.3493,20.38315582,65.97305,0.475297034,0.1,164,4.703273588,71.609,78.91152546,-,-,23.2,155.847,113.318,27.6,16.2,124.5,3.9,-311014844.5,37.9265032,100,20.25230529,0.2,-,-,71.875,4.331999779,75.92107014,157.5464599,0.43,16.68545493,18,8,-,56.992,99.99354643,82.27,101634.0938,78,62,94,67
Bolivia,BOL,South America,12079472,1098580,47,45,0.692,44.8,6.11,6.11,8.9,245.9,13.1,155,-,4.9,27,39,-0.32,-0.7,-1.2,-1.163,-0.86,28.4,28.7,43,40,42.2,0.356,46,0.0154,97.55412292,1300,18.62232215,8.701779101,72.67590013,1.896866998,0.22,500,9.3,4.93192387,728.2229062,69.52400208,40408208528,3345.196589,39368460625,22520.52597,13.52000046,51.65574,-,0.13,109,3.966970327,64.467,50.95251868,1.544458342,4.528735061,20.7,316.665,190.705,25.4,21.1,63.7,5.6,435829649.1,21.5689866,99.99913202,10.99553241,0.3,-,13.9,88.75,8.508999825,45.50326259,222.730662,4.43,-,42,12,90.21331024,29.525,31.40243902,8.67,25769.88049,303.5,67,80,53
Bosnia and Herzegovina,BIH,Europe,3270943,51210,33.8,47.8,0.78,50.2,7.1,7.1,-,553.8,2.2,10,-,-,19,34,-0.38,-1,-0.2,-0.279,-0.64,37.2,33.4,63.4,60,44.1,0.373,26,0.0089,100,-,1.809747742,3.766587803,94.42366335,6.26950657,-,-,14.094,6.21883726,3360.899316,35.62099838,23365361635,7143.310548,23023924770,11639.56755,-,65.44253,0.579684079,-,25,4.878606347,76.225,92.62856847,0.894938348,1.996106995,4.9,97.159,52.767,5.7,13.5,79.8,0.1,-3659507049,27.74766896,99.95523503,63.87313025,-,2.8,2.5,85,15.21500015,83.2439706,-13.44313767,7.15,20.44074783,33,13,-,50.575,35.51730757,37.02,10563.24093,35.5,65,51,45
Botswana,BWA,Africa,2588423,581730,60.5,31.9,0.693,44.1,11.36,11.36,8.74,481.5,77.5,144,8.74,-,28,44,0.98,0.4,0.6,0.482,0.69,70.1,61.4,64.8,70,34.9,0.002,11,0.0286,71.99475861,6700,44.90445318,9.385218149,45.71032775,2.900345721,6.03,2000,6.95,4.74940634,1677.597002,45.5359993,17614791266,6805.221274,16658075871,71353.51703,15.35272026,66.1978,0.414028496,3.48,235,2.525640898,65.647,88.3632384,2.859640394,8.369390011,36.1,292.178,201.368,44.8,26.4,101.3,11.8,-1969289279,23.09438618,100,4.449526413,18.6,25.4,21.9,63.75,24.72200012,77.8206894,513.9965218,6.59,21.74049457,34,9,-,28.44,0.033704078,25.57,960.1144456,2.4,54,78,39
Brazil,BRA,South America,214326223,8515770,49,54.6,0.754,51.6,4.62,4.62,6.09,853.4,11.4,60,-,-,31,42,-0.49,-0.5,-0.1,-0.28,-0.48,57.2,40,53.3,50,40.5,0.86,15,0.0119,100,-,13.70864088,11.55365978,74.73769835,2.050685078,0.39,-,7.42,3.90755868,2610.999282,49.99499893,1.61E+12,7507.160971,1.57E+12,39405.57634,15.95808029,59.08307,0.551497936,0.24,48,11.09637043,74.009,32.03921325,1.190809848,3.277293345,13.1,189.684,95.452,14.7,16,29.9,1,32369598361,12.70662947,68.13503006,25.16815543,0.6,7.3,4.1,85,14.40299988,32.8904521,86.11633574,7.42,13.94010799,9.61,11,104.1259995,12.683,73.96690805,47.57,26730.20621,5661,75,67,76
Brunei Darussalam,BRN,Asia,445373,5770,-,-,0.829,72.5,-1.61,-1.61,-,671.6,23.2,10,-,1.68,7,21,1.17,1.5,1,0.89,1.25,51.6,61.1,64.8,50,37.5,0,9,0.0326,100,-,10.34098073,4.989989237,84.66903035,15.95715486,-,-,4.975,2.03760552,10121.0591,58.70000076,14006569576,31449.07656,14096219676,42531.76551,-,70.06387,0.626391351,-,61,15.46592853,74.795,139.9843116,3.2622296,10.49896587,9.6,141.401,97.328,11.5,7.5,13.3,0.1,1359173252,5.903065468,0,77.18769497,-,-,5.9,53.125,7.649000168,110.2910037,-19.26199448,0.48,-,5,3,91.36090851,21.446,0.047619048,0.01,19404.2662,8.5,77,72,87
Bulgaria,BGR,Europe,6877743,111000,40.2,40.1,0.795,59.9,4.18,4.18,-,697.9,5.8,320,-,-,33,46,0.46,-0.1,0.4,-0.044,-0.24,61.1,45.6,71,60,36.3,0.211,24,0.0159,99.69999695,200,2.214004172,2.47491822,95.31107766,5.61085728,0.06,100,18,4.21549892,4708.927458,52.61100006,84056312734,12221.49661,81864864554,19684.96249,11.70670986,71.97405,0.613898158,0.03,17,7.132681789,73.60731707,103.7554434,1.594889007,3.901266166,5.1,-,-,6.1,9.2,61.8,0.1,-2256010000,19.14913234,99.89467432,61.96164865,0.1,2.9,3,90.625,5.423999786,110.28183,-37.14016729,12.65,19.90385141,14,7,87.96903992,23.975,17.988593,19.34,3010.424239,21,70,-,57
Burkina Faso,BFA,Africa,22100683,274220,39.5,41.5,0.449,33.4,6.91,6.91,5.52,42.3,24.3,548,5.52,24.5,23,30,-1.64,-0.7,-0.5,-0.438,-0.06,36.3,41.4,58.3,40,23.3,0.125,6,0.0289,18.95723915,1200,54.10482801,11.12996961,34.76520142,0.238644814,0.12,1000,8.813,2.28508854,-,61.78499985,19737615114,893.0771558,18717882893,469652.4855,20.88945007,51.40019,0.383691937,0.08,45,-0.816610099,59.731,48.92688374,2.891133818,9.588550215,52.8,311.696,231.071,85,31,206.2,49.6,1329958724,42.93559251,100,80.59471592,0.6,18.5,18,82.5,4.757999897,-,261.3724488,12.03,15.29241208,45,3,40.56293869,68.76,9.354038684,64.85,596.6120359,12.5,43,82,69
Burundi,BDI,Africa,12551213,27830,42.4,37.7,0.426,28.3,1.8,1.8,5.04,20.6,3.4,-,5.04,10.11,4,10,-1.36,-1.3,-1,-1.294,-1.58,7.1,12.2,39.4,30,26.7,0.655,38,0.0192,11.73555565,1000,51.1748058,12.06130383,36.76389058,0.060632409,0.13,500,7.562,2.66726708,-,76.80000305,2779813489,221.4776762,2787941798,528405.406,21.22216988,46.77393,0.386170626,0.14,100,9.907567467,61.566,42.66473289,1.922801846,6.664121377,38.6,316.134,243.591,54.4,35.5,179.9,65.4,-,38.89626795,100,450.9957959,0.9,-,-,76.25,1.792000055,26.77333,123.4550193,7.19,-,24,4,47.62125015,85.942,82.70938513,84.77,847.1694519,10.06,44,95,54
Cabo Verde,CPV,Africa,587925,4030,-,-,0.662,-,6.95,6.95,7.58,177.9,6.7,58,7.58,-,38,54,-,-,-,-,-,77.4,60.9,66.7,60,30.8,0.19,39,-,94.16174316,200,15.8291786,14.05036729,70.12045523,1.126457855,0.39,100,5.692,3.24621487,-,45.93700027,1936174043,3293.233054,1898443617,301006.6027,15.15369987,55.03925,-,0.24,35,2.330490817,74.808,44.10760504,0.535771998,1.530094388,12.2,192.178,69.487,14.2,26.8,99.5,4.1,-660435564.3,34.7787001,100,145.8870968,0.6,6.4,17.7,86.25,15.42300034,84.69273656,-,5.6,-,30,9,-,32.898,20.20849659,22.19,519.9036445,0.3,69,91,89
Cambodia,KHM,Asia,16589023,181040,37.9,48,0.593,38.5,3.03,3.03,2.16,113.3,39.2,160,-,10.85,5,19,-0.13,-0.4,-0.6,-0.9,-1.18,20.9,12.3,57.1,50,21.2,0.501,22,0.0232,86.40000153,1000,23.03431682,9.244724137,67.72095765,0.998288121,0.11,500,6.228,1.69888663,272.5034428,79.19400024,26961061120,1625.23502,25558378524,6314820.878,18.93770027,53.84483,0.491589874,0.07,288,1.291945004,70.416,169.6186949,2.316364421,8.636472575,22,200.73,134.767,25.7,19.6,149.8,6.5,-2543751854,25.61429187,100,91.63181065,0.6,15.1,6.3,81.25,0.611999989,123.5030089,552.597762,6.64,17.05208455,40,9,54.83041,75.332,46.41801228,53.36,7440.886598,120.6,61,96,45
