,Population,Surface Area (Km2),GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),"GDP growth
(annual %)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),Economic Growth,"health expenditure 
% of GDP","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",Education as % of GDP,% of primary school aged kids out of school,unemployment (%),% of population with access to electricity,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP,Access to electricity (% of population) ,Adults (ages 15..49) newly infected with HIV ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) ","Cause of death, by injury (% of total) ","Cause of death, by non..communicable diseases (% of total) ",CO2 emissions (metric tons per capita) ,"Incidence of HIV, ages 15..49 (per 1,000 uninfected population ages 15..49) ",Young people (ages 15..24) newly infected with HIV ,"Death rate, crude (per 1,000 people) ",Domestic general government health expenditure (% of GDP) ,Electric power consumption (kWh per capita) ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) ",GDP (current US$) ,GDP per capita (current US$) ,GNI (current US$) ,GNI per capita (current LCU) ,"Government expenditure on education, total (% of government expenditure) ",Ease of doing business score (0 = lowest performance to 100 = best performance) ,Human capital index (HCI) (scale 0..1) ,"Incidence of HIV, all (per 1,000 uninfected population) ","Incidence of tuberculosis (per 100,000 people) ","Inflation, GDP deflator (annual %) ","Life expectancy at birth, total (years) ",Merchandise trade (% of GDP) ,Military expenditure (% of GDP) ,Military expenditure (% of general government expenditure) ,"Mortality rate, infant (per 1,000 live births) ","Mortality rate, adult, male (per 1,000 male adults) ","Mortality rate, adult, female (per 1,000 female adults) ","Mortality rate, under..5 (per 1,000 live births) ","Mortality caused by road traffic injury (per 100,000 population) ","Mortality rate attributed to household and ambient air pollution, age..standardized (per 100,000 population) ","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) ","Net trade in goods (BoP, current US$) ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) ",Population density (people per sq. km of land area) ,"Prevalence of HIV, total (% of population ages 15..49) ",Prevalence of severe food insecurity in the population (%) ,Prevalence of undernourishment (% of population) ,Women Business and the Law Index Score (scale 1..100) ,"Unemployment, total (% of total labor force) (modeled ILO estimate) ",Trade (% of GDP) ,Total greenhouse gas emissions (% change from 1990) ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) ",Tax revenue (% of GDP) ,Tax payments (number) ,Start..up procedures to register a business (number) ,"School enrollment, secondary (% gross) ",Rural population (% of total population) ,Renewable electricity output (% of total electricity output) ,Renewable energy consumption (% of total final energy consumption) ,Renewable internal freshwater resources per capita (cubic meters) ,"Renewable internal freshwater resources, total (billion cubic meters) ",UHC service coverage index ,Tuberculosis treatment success rate (% of new cases) ,"Tuberculosis case detection rate (%, all forms) "
0,40099462.0,652860.0,39.586737415863034,29.4,0.478,32.50467478934611,-2.35,194.00052461828747,5736.967859561694,-2.35,3.21,65.8,60.8,638.0,3.21,7.647687996940874,13.28,97.7,1.0,9.0,-2.53,-1.6,-1.3,-1.871,-1.14,13.90369973761669,25.085236454849234,51.13241479939824,46.43539761367513,26.3,0.828,27.0,0.013756204147351077,97.69999695,1300.0,32.93045135,17.28846373,49.78108487,0.160976451,0.07,500.0,7.113,1.08443093,1205.5877014919183,35.89300156,14786861638.0,368.7546142,14910923352.0,31002.95782,11.34377003,44.06497,0.400284141,0.04,189.0,0.524516524,62.575,44.70860796,1.823469047355887,6.592043916512218,45.0,318.587,210.053,58.0,15.9,211.1,13.9,-5100906449.0,56.91080835,100.0,61.4212266,0.1,22.5,29.8,38.125,13.28299999,73.02804842597088,95.8469660724245,0.21,15.616344407128715,19.0,4.0,49.2853210218541,73.686,86.05011125,18.51,1248.361806,47.15,37.0,95.0,66.0
1,2811666.0,28750.0,29.0,51.0,0.796,53.1,8.54,40.8,15646.0,8.54,3.92,530.7986189051858,2.4,15.0,3.1,3.84,11.82,100.0,28.0,39.0,0.11,0.0,0.2,-0.256,-0.56,49.8,35.6,66.6,70.0,30.1,1.0,36.0,0.0142,100.0,100.0,3.023108283,3.035996411,93.94089314,1.69224832,0.05,100.0,10.785,2.82499456,2309.366503,51.60900116,18255787479.0,6492.872012,18006189075.0,662952.3895,13.43000031,67.74847,0.634250939,0.03,17.0,5.928013814,76.989,61.77219149,1.415635927,4.185888251,8.8,114.508,56.31,9.8,11.7,68.0,0.2,-3419884649.0,18.20060252,100.0,97.79707826,0.1,7.7,3.9,91.25,11.81900024,59.95174948,-19.92389571,7.17,18.54595166,35.0,5.0,94.28032684,37.031,100.0,40.2,9424.737167,26.9,62.0,89.0,56.0
2,44177969.0,2381741.0,35.3,46.5,0.745,45.8,3.85,488.9,12037.0,3.85,6.1,248.2,11.6,112.0,6.1,0.18,12.7,99.8,10.0,22.0,-0.88,-0.6,-1.2,-0.816,-0.61,29.7,30.1,45.8,30.0,42.5,0.011,8.0,0.0559,99.80413055,1600.0,12.98441128,7.660040042,79.35555043,4.010034523,0.07,200.0,5.398,4.05817795,1368.621519,35.11399841,163000000000.0,3690.627878,159000000000.0,487507.5674,14.46348,48.59758,0.534556448,0.04,54.0,15.73674428,74.453,44.58906923,5.592584071,15.23946779,19.5,114.976,81.699,22.7,20.9,49.7,1.9,-12992250331.0,38.8840107,100.0,18.54860331,0.1,6.2,2.5,57.5,12.70400047,45.31108911,65.78502652,0.95,15.125037021790769,27.0,12.0,89.79882421223573,25.739,0.322683799,0.16,263.3626761,11.247,75.0,89.0,79.0
3,34503774.0,1246700.0,42.7,42.253950497249605,0.586,28.4,0.7,203.3,6581.0,0.7,2.42,71.3,8.8,241.0,2.42,7.985916164379452,8.53,46.9,10.0,20.0,-0.71,-1.1,-0.7,-0.952,-0.66,25.3,20.6,52.6,40.0,32.1,0.682,30.0,0.0113,46.89060974,13000.0,59.16227295,9.088287413,31.74944015,0.779202575,0.86,5300.0,7.821,1.04434741,310.0816685,69.93699646,67404287260.0,1953.533757,62080347392.0,1219960.405,6.045360088,41.28838,0.36240539,0.52,325.0,33.61859184,62.261,67.31916002,1.132059821,6.775820097,48.3,313.481,212.645,71.5,26.1,118.5,48.8,11394296845.0,32.38850491,100.0,27.67608406,1.6,30.4,20.8,79.375,8.529999733,51.88744592,-18.00826697,6.94,9.644778503,31.0,8.0,77.08147528602836,32.54,53.17492831,54.69,4574.453999,148.0,39.0,53.0,55.0
4,45808747.0,2780400.0,41.7,50.0,0.842,57.3,10.26,985.2,23627.0,10.26,4.72,946.0,9.7,39.0,4.72,0.42,10.9,100.0,35.0,49.0,-0.11,-0.4,-0.6,-0.462,-0.4,57.9,45.1,50.1,60.0,38.5,0.271,45.0,0.0057,100.0,4700.0,17.59649448,5.709043309,76.69446254,3.740650291,0.21,1700.0,8.509,5.93055725,3074.702071,53.81499863,487000000000.0,10636.1202,477000000000.0,989978.8366,12.5300703,58.96151,0.602144718,0.11,30.0,54.15241194,75.892,28.96389194,0.565318001,7.101056161094036,7.6,147.707,87.621,8.6,14.1,26.6,0.4,14630807074.0,13.31183395,93.85282467,16.47559596,0.4,13.0,3.7,79.375,10.90200043,30.21979989,42.67047235,9.65,9.992390084,9.0,11.0,110.1282196,7.771,28.14006912,10.74,6497.73852,292.0,73.0,46.0,87.0
5,2790974.0,29740.0,31.5,54.7,0.759,51.7,5.7,39.5,14630.0,5.7,2.71,524.0,20.39727276600632,26.0,2.71,10.48,20.9,100.0,23.0,32.0,-0.84,-0.2,0.1,-0.096,0.07,33.1,50.8,65.3,70.0,25.8,0.246,34.0,0.0444,100.0,6193.82832304102,6.69449891,4.677751175,88.62775132,2.187476318,0.7690470107824126,2212.0521333154193,12.792,1.40614879,1976.864492,41.06600189,13861409969.0,4966.513471,13455052221.0,2428633.035,10.01000023,74.49401,0.578998804,0.30633083441275977,27.0,6.866740735,72.173,60.45561035,4.440121091,16.3153117,9.7,249.284,85.966,10.9,20.0,54.8,0.2,-1382153473.0,32.52811834,100.0,93.84579691,1.6896912031606426,1.0,3.5,87.5,20.89699936,69.48880754,-50.18426544,5.55,20.8701039,15.0,3.0,87.25035858,36.569,28.33696628,10.34,2431.750385,6.859,69.0,81.0,52.0
6,25688079.0,7741220.0,30.3,43.1,0.951,78.9,1.48,1269.2,55807.0,1.48,5.12,5427.5,3.0,6.0,11.574459145439691,1.46,5.11,100.0,39.0,56.0,0.85,1.5,1.8,1.674,1.74,95.2,87.0,77.7,90.0,36.0,0.246,31.0,0.0198,100.0,500.0,4.941054322,5.944592213,89.11435367,15.25361834,0.04,100.0,6.3,7.10425138,10071.39898,62.38700104,1550000000000.0,60443.10916,1540000000000.0,80090.02931,12.84535027,81.21506,0.770239532,0.02,6.5,2.800899836,83.2,39.02922251,1.978422533,4.632989386,3.1,227.19154172159523,94.61823175661814,3.7,4.9,8.4,0.1,40510223626.0,8.550324401,24.89358377,3.318350208,0.1,3.6,2.5,96.875,5.111999989,44.23343408,57.92847163,10.51,23.19743194,11.0,3.0,134.4505157,13.638,13.63784109,10.13,19415.77691,492.0,87.0,90.0,87.0
7,8955797.0,83879.0,30.5,46.8,0.916,80.3,4.48,483.1,58427.0,4.48,5.22,5242.2,17.3,5.0,6.466122032164031,0.06,6.3,100.0,37.0,56.0,0.91,1.6,1.3,1.788,1.27,94.6,82.9,73.8,70.0,51.8,0.839,40.0,0.008,100.0,6120.50320717119,3.569978616,5.445314629,90.98470507,7.293984252,0.46446799084323503,2170.273600475562,10.3,7.6176486,8355.841952,56.95700073,480000000000.0,53637.70571,483000000000.0,45554.21477,10.73365974,78.74549,0.746739745,0.5830137591911313,5.0,1.94340746,81.19268293,87.91710624,0.802121671,1.481388192,3.0,146.59085180866376,72.77009799796174,3.6,4.9,15.3,0.1,3902462830.0,12.47796673,85.05153767,106.7704312,0.9591657089882818,1.3,2.5,96.875,6.301000118,100.2236312,13.30618653,11.96,25.41750212,12.0,8.0,100.3740997,41.005,76.49077927,33.77,6193.749493,55.0,82.0,70.0,87.0
8,10137750.0,86600.0,33.7,48.0,0.745,51.1,5.6,146.3,15843.0,5.6,2.46,193.1,38.6,26.0,2.68,10.46,6.58,100.0,2.0,7.0,-0.85,0.2,-0.1,-0.585,-0.83,15.9,28.6,61.6,60.0,36.8,0.123,18.0,0.0527,100.0,500.0,5.988189042,3.763640552,90.24817112,3.542397828,0.04,100.0,7.5,1.28157103,2202.393918,59.58499908,54622176471.0,5387.997975,53484117647.0,8968.755394,8.290690422,78.50823,0.577767551,0.03,63.0,21.15692887,66.868,62.0865044,5.270059006,14.19384729,17.3,319.122,149.378,19.4,6.7,63.9,1.1,2511594000.0,19.92866362,100.0,117.0640878,0.1,0.0,2.5,78.75,6.583000183,72.01786765,-27.60623717,4.41,12.97127179,9.0,3.0,94.09343719,43.224,7.039857421,1.62,809.5342081,8.115,65.0,82.0,57.0
9,407906.0,13880.0,36.062443573333,46.81045503479047,0.812,60.4,13.72,12.3,34108.0,13.72,2.78,2004.6,4.9,70.0,2.78,5.791229805067308,13.24,100.0,38.0,53.0,0.88,0.5,0.1,0.102,1.18,78.8,64.3,68.7,60.0,23.8,0.0,18.0,0.021473978556735274,100.0,100.0,10.71019256,13.85576891,75.43403801,7.02002416,0.38,100.0,8.076,2.98772573,3902.924571395443,59.3769989,11208600000.0,27478.38963,10474400000.0,25678.46514,11.26228046,59.87155,0.6220315340044944,0.24,12.0,1.616956812,72.677,33.59920061,1.8471499037716228,5.797273169073876,10.5,236.261,130.8,12.3,7.7,19.9,0.1,-1630695186.0,17.36772049,99.99999999,29.38804035,1.3,3.4,7.170334378535273,81.25,13.23900032,59.45667302,35.38626796,4.78,14.39089669,20.0,7.0,98.4610770645564,16.635,0.0,1.14,1730.287697,0.7,70.0,68.0,87.0
