Year,Country Name,Country Code,Human capital index (HCI) (scale 0-1),"Population, total","Suicide mortality rate (per 100,000 population)",Surface area (sq. km)
2019-01-01,Afghanistan,AFG,,37769499.0,4.1,652860.0
2019-01-01,Albania,ALB,,2854191.0,4.3,28750.0
2019-01-01,Algeria,DZA,,42705368.0,2.5,2381741.0
2019-01-01,American Samoa,ASM,,47321.0,,200.0
2019-01-01,Andorra,AND,,76343.0,,470.0
2019-01-01,Angola,AGO,,32353588.0,6.1,1246700.0
2019-01-01,Antigua and Barbuda,ATG,,92117.0,0.4,440.0
2019-01-01,Argentina,ARG,,44938712.0,8.4,2780400.0
2019-01-01,Armenia,ARM,,2820602.0,3.3,29740.0
2019-01-01,Aruba,ABW,,106442.0,,180.0
2019-01-01,Australia,AUS,,25340217.0,12.5,7741220.0
2019-01-01,Austria,AUT,,8879920.0,14.6,83879.0
2019-01-01,Azerbaijan,AZE,,10024283.0,4.1,86600.0
2019-01-01,"Bahamas, The",BHS,,404557.0,3.5,13880.0
2019-01-01,Bahrain,BHR,,1494188.0,8.9,783.0
2019-01-01,Bangladesh,BGD,,165516222.0,3.7,147570.0
2019-01-01,Barbados,BRB,,280180.0,0.6,430.0
2019-01-01,Belarus,BLR,,9419758.0,21.2,207600.0
2019-01-01,Belgium,BEL,,11488980.0,18.3,30530.0
2019-01-01,Belize,BLZ,,389095.0,7.1,22970.0
2019-01-01,Benin,BEN,,12290444.0,7.8,114760.0
2019-01-01,Bermuda,BMU,,63911.0,,4290.0
2019-01-01,Bhutan,BTN,,767459.0,4.6,38390.0
2019-01-01,Bolivia,BOL,,11777315.0,6.2,1098580.0
2019-01-01,Bosnia and Herzegovina,BIH,,3360711.0,10.9,51210.0
2019-01-01,Botswana,BWA,,2499702.0,16.1,581730.0
2019-01-01,Brazil,BRA,,211782878.0,6.9,8515770.0
2019-01-01,British Virgin Islands,VGB,,30610.0,,150.0
2019-01-01,Brunei Darussalam,BRN,,438048.0,2.7,5770.0
2019-01-01,Bulgaria,BGR,,6975761.0,9.7,111000.0
2019-01-01,Burkina Faso,BFA,,20951639.0,7.5,274220.0
2019-01-01,Burundi,BDI,,11874838.0,6.2,27830.0
2019-01-01,Cabo Verde,CPV,,577030.0,12.9,4030.0
2019-01-01,Cambodia,KHM,,16207746.0,4.9,181040.0
2019-01-01,Cameroon,CMR,,25782341.0,9.0,475440.0
